NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
2717301 MN EBT YELLOW MEDICINE CO DPW,136,,465,,601,,86,,222,,308,,"130,478",,,,
2717501 MN EBT MILLIE LACS BAND,96,,6,,102,,28,,3,,31,,"8,175",,,,
2717701 MN EBT White Earth Nation,921,,"1,388",,"2,309",,469,,720,,"1,189",,"552,891",,,,
2717901 MN EBT Red Lake Indian Reservation,"2,444",,"1,131",,"3,575",,808,,793,,"1,601",,"818,347",,,,
2800101 MS EBT ADAMS CO DPW,28,,"4,574",,"4,602",,8,,"2,608",,"2,616",,"668,479",,,,
2800301 MS EBT ALCORN CO DPW,63,,"4,177",,"4,240",,22,,"2,101",,"2,123",,"591,191",,,,
2800501 MS EBT AMITE CO DPW,23,,"1,878",,"1,901",,8,,"1,037",,"1,045",,"270,450",,,,
2800701 MS EBT ATTALA CO DPW,56,,"3,088",,"3,144",,16,,"1,502",,"1,518",,"451,614",,,,
2800901 MS EBT BENTON CO DPW,15,,"1,654",,"1,669",,4,,881,,885,,"259,808",,,,
2801102 MS EBT BOLIVAR CO DPW EAST,141,,"7,547",,"7,688",,47,,"4,064",,"4,111",,"1,153,683",,,,
2801301 MS EBT CALHOUN CO DPW,10,,"1,618",,"1,628",,4,,866,,870,,"227,271",,,,
2801501 MS EBT CARROLL CO DPW,3,,"1,059",,"1,062",,1,,612,,613,,"141,794",,,,
2801701 MS EBT CHICKASAW CO DPW,28,,"2,148",,"2,176",,9,,"1,119",,"1,128",,"299,886",,,,
2801901 MS EBT CHOCTAW CO DPW,4,,847,,851,,1,,491,,492,,"111,538",,,,
2802101 MS EBT CLAIBORNE CO DPW,23,,"2,602",,"2,625",,8,,"1,381",,"1,389",,"419,862",,,,
2802301 MS EBT CLARKE CO DPW,0,,"2,490",,"2,490",,0,,"1,269",,"1,269",,"356,269",,,,
2802501 MS EBT CLAY CO DPW,15,,"3,438",,"3,453",,5,,"1,805",,"1,810",,"522,201",,,,
2802701 MS EBT COAHOMA CO DPW,117,,"7,542",,"7,659",,38,,"3,866",,"3,904",,"1,200,989",,,,
2802901 MS EBT COPIAH CO DPW,58,,"5,757",,"5,815",,19,,"3,130",,"3,149",,"882,280",,,,
2803101 MS EBT COVINGTON CO DPA,30,,"3,342",,"3,372",,10,,"1,601",,"1,611",,"520,669",,,,
2803301 MS EBT DESOTO CO DPW,98,,"12,864",,"12,962",,32,,"5,536",,"5,568",,"2,202,298",,,,
2803501 MS EBT FORREST CO DPW,72,,"9,947",,"10,019",,22,,"4,919",,"4,941",,"1,624,039",,,,
2803701 MS EBT FRANKLIN CO DPW,10,,"1,050",,"1,060",,4,,573,,577,,"147,780",,,,
2803901 MS EBT GEORGE CO DPW,32,,"2,694",,"2,726",,10,,"1,375",,"1,385",,"432,911",,,,
2804101 MS EBT GREENE CO DPW,8,,"1,267",,"1,275",,2,,697,,699,,"185,504",,,,
2804301 MS EBT GRENADA CO DPW,55,,"3,165",,"3,220",,17,,"1,661",,"1,678",,"456,342",,,,
2804501 MS EBT HANCOCK CO DPW,34,,"5,118",,"5,152",,12,,"2,719",,"2,731",,"815,459",,,,
2804701 MS EBT HARRISON CO DPW,325,,"32,351",,"32,676",,101,,"15,917",,"16,018",,"5,438,636",,,,
2804901 MS EBT HINDS CO DPW,389,,"40,630",,"41,019",,123,,"20,366",,"20,489",,"6,774,050",,,,
2805101 MS EBT HOLMES CO DPW,83,,"4,756",,"4,839",,28,,"2,583",,"2,611",,"701,854",,,,
2805301 MS EBT HUMPHREYS CO DPW,78,,"2,804",,"2,882",,27,,"1,627",,"1,654",,"414,206",,,,
2805501 MS EBT ISSAQUENA CO DPW,0,,229,,229,,0,,127,,127,,"28,792",,,,
2805701 MS EBT ITAWAMBA CO DPW,23,,"1,837",,"1,860",,7,,883,,890,,"256,478",,,,
2805901 MS EBT JACKSON CO DPW,120,,"15,288",,"15,408",,41,,"7,773",,"7,814",,"2,477,650",,,,
2806101 MS EBT JASPER CO DPW,2,,"2,549",,"2,551",,1,,"1,414",,"1,415",,"364,196",,,,
2806301 MS EBT JEFFERSON CO DPW,11,,"1,832",,"1,843",,4,,996,,"1,000",,"257,551",,,,
2806501 MS EBT JEFFERSON DAVIS CO DPW,8,,"1,729",,"1,737",,3,,980,,983,,"241,045",,,,
2806701 MS EBT JONES CO DPW,41,,"8,125",,"8,166",,15,,"3,632",,"3,647",,"1,249,477",,,,
2806901 MS EBT KEMPER CO DPW,12,,"1,582",,"1,594",,3,,876,,879,,"233,945",,,,
2807101 MS EBT LAFAYETTE CO DPW,16,,"3,507",,"3,523",,6,,"1,722",,"1,728",,"554,979",,,,
2807301 MS EBT LAMAR CO DPW,10,,"4,189",,"4,199",,4,,"1,927",,"1,931",,"668,980",,,,
2807501 MS EBT LAUDERDALE CO DPW,122,,"12,970",,"13,092",,38,,"6,276",,"6,314",,"2,042,041",,,,
2807701 MS EBT LAWRENCE CO DPW,20,,"1,862",,"1,882",,6,,"1,002",,"1,008",,"284,609",,,,
2807901 MS EBT LEAKE CO DPW,25,,"2,789",,"2,814",,8,,"1,330",,"1,338",,"409,207",,,,
2808101 MS EBT LEE CO DPW,55,,"8,238",,"8,293",,19,,"3,896",,"3,915",,"1,285,336",,,,
2808301 MS EBT LEFLORE CO DPW,89,,"7,636",,"7,725",,30,,"3,987",,"4,017",,"1,147,542",,,,
2808501 MS EBT LINCOLN CO DPW,48,,"4,530",,"4,578",,17,,"2,350",,"2,367",,"701,285",,,,
2808701 MS EBT LOWNDES CO DPW,81,,"9,797",,"9,878",,27,,"5,141",,"5,168",,"1,562,835",,,,
2808901 MS EBT MADISON CO DPW,46,,"7,776",,"7,822",,16,,"3,948",,"3,964",,"1,260,968",,,,
2809101 MS EBT MARION CO DPW,5,,"3,249",,"3,254",,2,,"1,640",,"1,642",,"489,386",,,,
2809301 MS EBT MARSHALL CO DPW,9,,"4,078",,"4,087",,4,,"2,164",,"2,168",,"609,118",,,,
2809501 MS EBT MONROE CO DPW,9,,"3,459",,"3,468",,3,,"1,820",,"1,823",,"512,726",,,,
2809701 MS EBT MONTGOMERY CO DPW,11,,"1,782",,"1,793",,3,,922,,925,,"254,096",,,,
2809901 MS EBT NESHOBA CO DPW,66,,"5,971",,"6,037",,18,,"2,536",,"2,554",,"912,923",,,,
2810101 MS EBT NEWTON CO DPW,20,,"2,346",,"2,366",,6,,"1,114",,"1,120",,"356,033",,,,
2810301 MS EBT NOXUBEE CO FOOD STP PR,82,,"3,088",,"3,170",,25,,"1,789",,"1,814",,"481,074",,,,
2810501 MS EBT OKTIBBEHA CO DPW,42,,"5,097",,"5,139",,14,,"2,641",,"2,655",,"810,137",,,,
2810701 MS EBT PANOLA CO DPW,31,,"5,560",,"5,591",,10,,"2,669",,"2,679",,"824,477",,,,
2810901 MS EBT PEARL RIVER CO DPW,63,,"7,888",,"7,951",,23,,"3,866",,"3,889",,"1,252,215",,,,
2811101 MS EBT PERRY COUNTY DPW,5,,"1,525",,"1,530",,2,,834,,836,,"219,481",,,,
2811301 MS EBT PIKE CO DPW,56,,"7,776",,"7,832",,17,,"3,757",,"3,774",,"1,214,765",,,,
2811501 MS EBT PONTOTOC CO DPW,12,,"2,625",,"2,637",,5,,"1,203",,"1,208",,"358,406",,,,
2811701 MS EBT PRENTISS CO DPW,19,,"2,516",,"2,535",,5,,"1,278",,"1,283",,"340,488",,,,
2811901 MS EBT QUITMAN CO DPW,18,,"1,327",,"1,345",,6,,794,,800,,"173,733",,,,
2812101 MS EBT RANKIN CO DPW,54,,"9,279",,"9,333",,18,,"4,336",,"4,354",,"1,427,516",,,,
2812301 MS EBT SCOTT CO DPW,30,,"3,466",,"3,496",,11,,"1,623",,"1,634",,"529,819",,,,
2812501 MS EBT SHARKEY CO DPW,16,,"1,254",,"1,270",,5,,689,,694,,"188,426",,,,
2812701 MS EBT SIMPSON CO DPW,28,,"3,436",,"3,464",,9,,"1,711",,"1,720",,"501,293",,,,
2812901 MS EBT SMITH CO DPW,12,,"1,290",,"1,302",,3,,616,,619,,"180,587",,,,
2813101 MS EBT STONE CO DPW,0,,"2,414",,"2,414",,0,,"1,252",,"1,252",,"387,063",,,,
2813301 MS EBT SUNFLOWER CO DPW,76,,"6,472",,"6,548",,23,,"3,672",,"3,695",,"998,137",,,,
2813501 MS EBT TALLAHATCHIE CO DPW,21,,"1,774",,"1,795",,8,,"1,027",,"1,035",,"222,478",,,,
2813701 MS EBT TATE CO DPW,29,,"3,326",,"3,355",,9,,"1,586",,"1,595",,"482,176",,,,
2813901 MS EBT TIPPAH CO DPW,29,,"1,880",,"1,909",,8,,969,,977,,"245,950",,,,
2814101 MS EBT TISHOMINGO CO DPW,28,,"1,544",,"1,572",,7,,805,,812,,"207,616",,,,
2814301 MS EBT TUNICA CO DPW,81,,"3,004",,"3,085",,25,,"1,457",,"1,482",,"490,247",,,,
2814501 MS EBT UNION CO DPW,15,,"2,627",,"2,642",,6,,"1,170",,"1,176",,"373,751",,,,
2814701 MS EBT WALTHALL CO DPW,20,,"1,803",,"1,823",,6,,976,,982,,"267,337",,,,
2814901 MS EBT WARREN CO DPW,204,,"8,933",,"9,137",,57,,"4,345",,"4,402",,"1,460,185",,,,
2815101 MS EBT WASHINGTON CO DPW,324,,"12,653",,"12,977",,104,,"6,870",,"6,974",,"1,991,266",,,,
2815301 MS EBT WAYNE CO DPW,46,,"4,314",,"4,360",,14,,"2,201",,"2,215",,"678,378",,,,
2815501 MS EBT WEBSTER CO DPW,11,,"1,392",,"1,403",,4,,790,,794,,"189,718",,,,
2815701 MS EBT WILKINSON CO DPW,19,,"1,676",,"1,695",,6,,958,,964,,"258,811",,,,
2815901 MS EBT WINSTON CO DPW,56,,"2,936",,"2,992",,16,,"1,482",,"1,498",,"445,419",,,,
2816101 MS EBT YALOBUSHA CO DPW,22,,"1,965",,"1,987",,8,,"1,061",,"1,069",,"277,690",,,,
2816301 MS EBT YAZOO CO DPW,43,,"6,249",,"6,292",,15,,"3,219",,"3,234",,"961,772",,,,
2992509 MO EBT Missouri Dept. Social Services,"138,176",,"503,628",,"641,804",,"73,917",,"240,784",,"314,701",,"105,064,876",,,,
3020101 MT EBT LOOMIS AURMORED INK,"10,081",,"79,188",,"89,269",,"8,303",,"36,786",,"45,089",,"13,305,349",,,,
3100001 NE EBT FOOD STAMP PROGRAM,"32,713",,"123,064",,"155,777",,"15,674",,"58,964",,"74,638",,"24,070,945",,,,
3200101 NV EBT CHURCHILL COUNTY,346,,"2,867",,"3,213",,273,,"1,462",,"1,735",,"790,382",,,,
3200301 NV EBT CLARK COUNTY,"31,072",,"329,109",,"360,181",,"23,461",,"165,090",,"188,551",,"89,034,582",,,,
3200501 NV EBT DOUGLAS COUNTY,167,,"1,904",,"2,071",,143,,"1,055",,"1,198",,"515,628",,,,
3200701 NV EBT ELKO COUNTY,301,,"4,314",,"4,615",,231,,"2,010",,"2,241",,"1,112,325",,,,
3200901 NV EBT ESMERALDA COUNTY,3,,67,,70,,3,,32,,35,,"16,944",,,,
3201101 NV EBT EUREKA COUNTY,11,,115,,126,,11,,52,,63,,"30,294",,,,
3201301 NV EBT HUMBOLDT COUNTY,114,,"1,538",,"1,652",,88,,701,,789,,"393,837",,,,
3201501 NV EBT LANDER COUNTY,30,,398,,428,,24,,174,,198,,"101,532",,,,
3201701 NV EBT LINCOLN COUNTY,57,,435,,492,,39,,215,,254,,"117,352",,,,
3201901 NV EBT LYON COUNTY,443,,"5,176",,"5,619",,369,,"2,589",,"2,958",,"1,367,753",,,,
3202101 NV EBT MINERAL COUNTY,102,,633,,735,,79,,361,,440,,"183,462",,,,
3202301 NV EBT NYE COUNTY,895,,"8,339",,"9,234",,726,,"4,538",,"5,264",,"2,304,904",,,,
3202701 NV EBT PERSHING COUNTY,44,,475,,519,,37,,224,,261,,"124,102",,,,
3202901 NV EBT STOREY COUNTY,6,,89,,95,,6,,53,,59,,"23,647",,,,
3203101 NV EBT WASHOE COUNTY,"3,983",,"38,772",,"42,755",,"3,232",,"21,162",,"24,394",,"10,697,765",,,,
3203301 NV EBT WHITE PINE,90,,970,,"1,060",,73,,472,,545,,"258,330",,,,
3251001 NV EBT CARSON COUNTY,591,,"5,635",,"6,226",,511,,"3,037",,"3,548",,"1,539,561",,,,
3300008 NH EBT DEPT HEALTH & HUMAN SVCS,"67,319",,"1,459",,"68,778",,"34,935",,"1,048",,"35,983",,"26,339,817",,,,
3400106 NJ EBT ATLANTIC CO DEPT OF SS,"9,798",,"34,199",,"43,997",,"5,896",,"17,261",,"23,157",,"6,816,980",,,,
3400313 NJ EBT BERGEN,"10,362",,"29,808",,"40,170",,"7,447",,"16,452",,"23,899",,"6,267,792",,,,
3400509 NJ EBT BURLINGTON,"6,156",,"18,322",,"24,478",,"3,508",,"8,956",,"12,464",,"3,727,907",,,,
3400712 NJ EBT CAMDEN,"21,197",,"58,112",,"79,309",,"12,164",,"28,664",,"40,828",,"12,500,883",,,,
3400902 NJ EBT CAPE MAY,"1,724",,"6,540",,"8,264",,"1,035",,"3,380",,"4,415",,"1,227,044",,,,
3401107 NJ EBT CUMBERLAND,"7,103",,"21,955",,"29,058",,"3,927",,"10,189",,"14,116",,"4,345,337",,,,
3401328 NJ EBT ESSEX,"32,737",,"117,693",,"150,430",,"18,722",,"61,260",,"79,982",,"24,885,044",,,,
3401506 NJ EBT GLOUCESTER CO RD SOC S,"4,813",,"14,167",,"18,980",,"2,817",,"7,116",,"9,933",,"2,807,696",,,,
3401714 NJ EBT HUDSON,"27,230",,"94,328",,"121,558",,"17,539",,"48,972",,"66,511",,"19,780,887",,,,
3401907 NJ EBT HUNTERDON,804,,"2,594",,"3,398",,537,,"1,484",,"2,021",,"513,632",,,,
3402113 NJ EBT MERCER,"10,746",,"25,958",,"36,704",,"6,420",,"13,523",,"19,943",,"5,792,838",,,,
3402311 NJ EBT MIDDLESEX,"13,705",,"44,210",,"57,915",,"8,889",,"22,058",,"30,947",,"8,969,139",,,,
3402510 NJ EBT MONMOUTH,"6,252",,"26,408",,"32,660",,"4,211",,"14,247",,"18,458",,"4,983,121",,,,
3402710 NJ EBT MORRIS,"3,389",,"11,847",,"15,236",,"2,406",,"6,660",,"9,066",,"2,364,051",,,,
3402910 NJ EBT OCEAN,"7,660",,"51,356",,"59,016",,"4,199",,"16,487",,"20,686",,"7,667,998",,,,
3403107 NJ EBT PASSAIC CO BD SOC SERV,"18,372",,"79,069",,"97,441",,"10,537",,"36,733",,"47,270",,"15,393,874",,,,
3403306 NJ EBT SALEM,"2,187",,"6,377",,"8,564",,"1,229",,"2,946",,"4,175",,"1,378,747",,,,
3403508 NJ EBT SOMERSET,"2,741",,"8,805",,"11,546",,"1,751",,"4,629",,"6,380",,"1,746,242",,,,
3403706 NJ EBT SUSSEX,958,,"3,178",,"4,136",,602,,"1,598",,"2,200",,"614,291",,,,
3403911 NJ EBT UNION,"10,888",,"42,205",,"53,093",,"6,790",,"21,133",,"27,923",,"8,428,438",,,,
3404102 NJ EBT WARREN,"1,882",,"6,104",,"7,986",,"1,092",,"3,055",,"4,147",,"1,181,840",,,,
3500101 NM EBT BERNALILLO COUNTY,"13,693",,"156,940",,"170,633",,"4,552",,"91,255",,"95,807",,"49,235,581",,,,
3500301 NM EBT CATRON COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3500501 NM EBT CHAVES COUNTY,"1,781",,"23,261",,"25,042",,609,,"11,544",,"12,153",,"6,135,564",,,,
3500601 NM EBT CIBOLA COUNTY,462,,"8,783",,"9,245",,152,,"4,132",,"4,284",,"2,236,561",,,,
3500701 NM EBT COLFAX COUNTY,310,,"3,290",,"3,600",,119,,"1,887",,"2,006",,"900,102",,,,
3500901 NM EBT CURRY COUNTY,"2,005",,"17,417",,"19,422",,676,,"8,920",,"9,596",,"4,783,120",,,,
3501101 NM EBT DE BACA COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3501301 NM EBT DONA ANA COUNTY,"6,249",,"66,626",,"72,875",,"2,155",,"32,879",,"35,034",,"23,252,744",,,,
3501501 NM EBT EDDY COUNTY,"1,163",,"13,197",,"14,360",,419,,"6,586",,"7,005",,"9,046,972",,,,
3501701 NM EBT GRANT COUNTY,826,,"8,499",,"9,325",,275,,"4,807",,"5,082",,"2,340,892",,,,
3501901 NM EBT GUADALUPE COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3502101 NM EBT HARDING COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3502301 NM EBT HIDALGO COUNTY,0,,2,,2,,0,,2,,2,,510,,,,
3502501 NM EBT LEA COUNTY,"1,652",,"18,680",,"20,332",,559,,"8,659",,"9,218",,"4,958,548",,,,
3502701 NM EBT LINCOLN COUNTY,321,,"4,354",,"4,675",,113,,"2,337",,"2,450",,"1,163,929",,,,
3502801 NM EBT LOS ALAMOS COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3502901 NM EBT LUNA COUNTY,979,,"11,211",,"12,190",,318,,"5,513",,"5,831",,"2,959,248",,,,
3503101 NM EBT MCKINLEY COUNTY,327,,"30,432",,"30,759",,134,,"13,236",,"13,370",,"7,336,906",,,,
3503301 NM EBT MORA COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3503401 NM EBT NAVAJO,0,,0,,0,,0,,0,,0,,0,,,,
3503501 NM EBT OTERO COUNTY,"1,083",,"13,023",,"14,106",,352,,"6,921",,"7,273",,"3,494,481",,,,
3503701 NM EBT QUAY COUNTY,363,,"4,043",,"4,406",,129,,"2,256",,"2,385",,"1,088,060",,,,
3503901 NM EBT RIO ARRIBA COUNTY,"1,173",,"13,590",,"14,763",,401,,"7,830",,"8,231",,"3,780,482",,,,
3504101 NM EBT ROOSEVELT COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3504301 NM EBT SANDOVAL COUNTY,"1,242",,"23,963",,"25,205",,434,,"11,642",,"12,076",,"6,161,537",,,,
3504501 NM EBT SAN JUAN COUNTY,"1,189",,"38,692",,"39,881",,416,,"18,002",,"18,418",,"9,691,081",,,,
3504701 NM EBT SAN MIGUEL COUNTY,624,,"9,575",,"10,199",,224,,"5,983",,"6,207",,"2,628,553",,,,
3504901 NM EBT SANTA FE COUNTY,"1,102",,"18,951",,"20,053",,427,,"10,941",,"11,368",,"5,118,397",,,,
3505101 NM EBT SIERRA COUNTY,332,,"5,703",,"6,035",,117,,"2,998",,"3,115",,"1,464,351",,,,
3505301 NM EBT SOCORRO COUNTY,301,,"5,626",,"5,927",,119,,"3,116",,"3,235",,"1,478,697",,,,
3505501 NM EBT TAOS COUNTY,460,,"8,698",,"9,158",,178,,"5,176",,"5,354",,"2,354,514",,,,
3505701 NM EBT TORRANCE COUNTY,125,,"2,621",,"2,746",,45,,"1,538",,"1,583",,"683,248",,,,
3505901 NM EBT UNION COUNTY,0,,0,,0,,0,,0,,0,,0,,,,
3506101 NM EBT VALENCIA COUNTY,"1,432",,"19,250",,"20,682",,506,,"9,936",,"10,442",,"10,575,780",,,,
3506301 NM EBT ZUNI,0,,0,,0,,0,,0,,0,,0,,,,
3600002 NY EBT NEW YORK STATE,"900,291",,"1,908,355",,"2,808,646",,"628,932",,"997,602",,"1,626,534",,"517,500,881",,,,
3700102 NC EBT ALAMANCE CO DSS,"1,962",,"27,758",,"29,720",,801,,"13,958",,"14,759",,"7,450,400",,,,
3700302 NC EBT ALEXANDER,330,,"4,804",,"5,134",,140,,"2,305",,"2,445",,"1,289,356",,,,
3700501 NC EBT ALLEGHANY CO DSS,200,,"1,553",,"1,753",,84,,770,,854,,"462,214",,,,
3700701 NC EBT ANSON CO DSS,525,,"6,683",,"7,208",,226,,"3,657",,"3,883",,"1,818,439",,,,
3700902 NC EBT ASHE,518,,"3,891",,"4,409",,211,,"2,032",,"2,243",,"1,114,940",,,,
3701104 NC EBT AVERY,189,,"1,926",,"2,115",,86,,"1,021",,"1,107",,"532,997",,,,
3701302 NC EBT BEAUFORT,945,,"9,206",,"10,151",,398,,"5,003",,"5,401",,"2,599,769",,,,
3701501 NC EBT BERTIE CO DSS,447,,"4,459",,"4,906",,231,,"2,653",,"2,884",,"1,232,450",,,,
3701702 NC EBT BLADEN,779,,"7,498",,"8,277",,328,,"4,227",,"4,555",,"2,102,474",,,,
3701901 NC EBT BRUNSWICK CO DSS,"1,262",,"16,133",,"17,395",,511,,"8,271",,"8,782",,"4,367,237",,,,
3702102 NC EBT BUNCOMBE,"3,121",,"32,566",,"35,687",,"1,385",,"18,979",,"20,364",,"9,361,435",,,,
3702302 NC EBT BURKE,999,,"13,181",,"14,180",,420,,"6,895",,"7,315",,"3,710,199",,,,
3702501 NC EBT CABARRUS,"1,753",,"26,823",,"28,576",,693,,"12,570",,"13,263",,"7,053,009",,,,
3702702 NC EBT CALDWELL,880,,"14,390",,"15,270",,383,,"7,565",,"7,948",,"3,869,990",,,,
3702902 NC EBT CAMDEN,96,,878,,974,,44,,451,,495,,"246,602",,,,
3703101 NC EBT CARTERET,720,,"6,898",,"7,618",,358,,"3,949",,"4,307",,"1,977,987",,,,
3703301 NC EBT CASWELL CO DSS,414,,"4,325",,"4,739",,218,,"2,258",,"2,476",,"1,185,272",,,,
3703502 NC EBT CATAWBA CO DSS,"2,123",,"23,228",,"25,351",,925,,"12,005",,"12,930",,"6,457,853",,,,
3703702 NC EBT CHATHAM,572,,"5,252",,"5,824",,227,,"2,738",,"2,965",,"1,465,541",,,,
3703903 NC EBT CHEROKEE,296,,"4,945",,"5,241",,126,,"2,568",,"2,694",,"1,314,451",,,,
3704102 NC EBT CHOWAN CO DSS,268,,"2,663",,"2,931",,120,,"1,511",,"1,631",,"743,430",,,,
3704301 NC EBT CLAY CO DSS,155,,"1,687",,"1,842",,62,,830,,892,,"483,284",,,,
3704501 NC EBT CLEVELAND CO DSS - CCI,"1,661",,"24,200",,"25,861",,697,,"12,276",,"12,973",,"6,623,929",,,,
3704702 NC EBT COLUMBUS,"1,575",,"11,763",,"13,338",,652,,"6,201",,"6,853",,"3,310,419",,,,
3704901 NC EBT CRAVEN CO. DSS-CCI,"1,564",,"13,756",,"15,320",,636,,"7,191",,"7,827",,"3,812,927",,,,
3705103 NC EBT CUMBERLAND COUNTY DSS,"5,302",,"80,270",,"85,572",,"2,192",,"40,461",,"42,653",,"21,429,720",,,,
3705302 NC EBT CURRITUCK,138,,"2,212",,"2,350",,67,,"1,023",,"1,090",,"574,348",,,,
3705502 NC EBT DARE CO DSS-OW,229,,"2,948",,"3,177",,91,,"1,591",,"1,682",,"844,625",,,,
3705703 NC EBT DAVIDSON,"2,637",,"27,238",,"29,875",,"1,064",,"13,706",,"14,770",,"7,526,793",,,,
3705902 NC EBT DAVIE,400,,"5,169",,"5,569",,162,,"2,435",,"2,597",,"1,373,407",,,,
3706102 NC EBT DUPLIN CO. DSS-CCI,632,,"9,466",,"10,098",,268,,"4,524",,"4,792",,"2,497,551",,,,
3706303 NC EBT DURHAM CO DSS,"1,867",,"44,650",,"46,517",,813,,"24,085",,"24,898",,"12,036,040",,,,
3706502 NC EBT EDGECOMBE CO DSS,"1,218",,"15,822",,"17,040",,537,,"8,234",,"8,771",,"4,283,442",,,,
3706702 NC EBT FORSYTH,"4,007",,"66,486",,"70,493",,"1,673",,"33,166",,"34,839",,"17,707,632",,,,
3706902 NC EBT FRANKLIN,723,,"10,108",,"10,831",,284,,"4,967",,"5,251",,"2,707,898",,,,
3707101 NC EBT GASTON,"3,655",,"40,245",,"43,900",,"1,520",,"20,492",,"22,012",,"11,072,774",,,,
3707303 NC EBT GATES,136,,"1,671",,"1,807",,70,,881,,951,,"461,332",,,,
3707503 NC EBT GRAHAM CO DSS,127,,"1,514",,"1,641",,49,,794,,843,,"432,362",,,,
3707701 NC EBT GRANVILLE,769,,"7,955",,"8,724",,334,,"4,139",,"4,473",,"2,189,240",,,,
3707902 NC EBT GREENE,449,,"4,126",,"4,575",,188,,"2,093",,"2,281",,"1,155,958",,,,
3708107 NC EBT GUILFORD CO DSS,"6,156",,"102,556",,"108,712",,"2,563",,"53,790",,"56,353",,"28,004,310",,,,
3708302 NC EBT HALIFAX,"1,586",,"14,565",,"16,151",,754,,"8,302",,"9,056",,"4,146,542",,,,
3708502 NC EBT HARNETT,"1,703",,"21,063",,"22,766",,674,,"10,045",,"10,719",,"5,489,911",,,,
3708702 NC EBT HAYWOOD,817,,"9,011",,"9,828",,347,,"4,789",,"5,136",,"2,499,968",,,,
3708905 NC EBT HENDERSON,726,,"11,743",,"12,469",,323,,"5,984",,"6,307",,"3,147,568",,,,
3709102 NC EBT HERTFORD,442,,"5,957",,"6,399",,198,,"3,383",,"3,581",,"1,629,439",,,,
3709302 NC EBT HOKE CO. DSS-OW,530,,"10,894",,"11,424",,222,,"5,348",,"5,570",,"2,906,035",,,,
3709502 NC EBT HYDE,74,,946,,"1,020",,34,,526,,560,,"255,347",,,,
3709702 NC EBT IREDELL,803,,"17,240",,"18,043",,330,,"7,810",,"8,140",,"4,492,086",,,,
3709902 NC EBT JACKSON,312,,"5,257",,"5,569",,128,,"2,612",,"2,740",,"1,379,555",,,,
3710102 NC EBT JOHNSTON,"2,151",,"29,921",,"32,072",,882,,"14,295",,"15,177",,"7,944,953",,,,
3710301 NC EBT JONES CO DSS,215,,"1,842",,"2,057",,89,,"1,044",,"1,133",,"520,105",,,,
3710502 NC EBT LEE CO. DSS-OW,621,,"9,970",,"10,591",,231,,"4,831",,"5,062",,"2,602,958",,,,
3710704 NC EBT LENOIR CO. DSS,"1,339",,"14,598",,"15,937",,524,,"7,655",,"8,179",,"3,983,198",,,,
3710902 NC EBT LINCOLN,907,,"10,691",,"11,598",,388,,"5,530",,"5,918",,"2,925,828",,,,
3711101 NC EBT MCDOWELL CO DSS,761,,"8,584",,"9,345",,353,,"4,648",,"5,001",,"2,399,732",,,,
3711301 NC EBT MACON CO DSS,324,,"4,683",,"5,007",,128,,"2,380",,"2,508",,"1,250,021",,,,
3711502 NC EBT MADISON CO DSS,325,,"3,217",,"3,542",,138,,"1,768",,"1,906",,"897,168",,,,
3711701 NC EBT MARTIN,258,,"5,216",,"5,474",,122,,"2,820",,"2,942",,"1,390,208",,,,
3711902 NC EBT MECKLENBURG,"3,734",,"167,430",,"171,164",,"1,576",,"85,086",,"86,662",,"43,254,842",,,,
3712102 NC EBT MITCHELL,281,,"2,419",,"2,700",,120,,"1,274",,"1,394",,"678,679",,,,
3712302 NC EBT MONTGOMERY CO. DSS -OW,437,,"4,286",,"4,723",,181,,"2,057",,"2,238",,"1,144,258",,,,
3712502 NC EBT MOORE,"1,366",,"10,194",,"11,560",,564,,"5,098",,"5,662",,"2,968,039",,,,
3712702 NC EBT NASH,"1,555",,"18,559",,"20,114",,671,,"9,500",,"10,171",,"5,076,988",,,,
3712902 NC EBT NEW HANOVER CO. CCI,"1,779",,"28,196",,"29,975",,813,,"16,106",,"16,919",,"7,697,905",,,,
3713104 NC EBT NORTHAMPTON,383,,"4,768",,"5,151",,197,,"2,741",,"2,938",,"1,333,344",,,,
3713301 NC EBT ONSLOW CO DSS,"1,802",,"23,601",,"25,403",,696,,"11,066",,"11,762",,"6,235,945",,,,
