NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
0111501 AL EBT ST CLAIR CO FS OFF,"1,784",,"9,518",,"11,302",,807,,"4,395",,"5,202",,"2,746,120",,,,
0111701 AL EBT SHELBY CO FS OFF,"1,568",,"10,702",,"12,270",,772,,"5,047",,"5,819",,"3,107,326",,,,
0111901 AL EBT SUMTER CO FS OFF,891,,"2,320",,"3,211",,510,,"1,298",,"1,808",,"790,520",,,,
0112101 AL EBT TALLADEGA CO FS OFF,"2,833",,"10,757",,"13,590",,"1,533",,"5,533",,"7,066",,"3,316,582",,,,
0112301 AL EBT TALLAPOOSA CO FS OFF,"1,397",,"6,007",,"7,404",,709,,"2,983",,"3,692",,"1,811,675",,,,
0112501 AL EBT TUSCALOOSA CO FS OFF,"4,860",,"20,461",,"25,321",,"2,277",,"9,900",,"12,177",,"6,203,795",,,,
0112701 AL EBT WALKER CO FS OFF,"1,990",,"8,109",,"10,099",,"1,004",,"4,113",,"5,117",,"2,503,943",,,,
0112901 AL EBT WASHINGTON CO F S OFC,530,,"2,366",,"2,896",,317,,"1,221",,"1,538",,"712,706",,,,
0113101 AL EBT WILCOX CO FS OFF,"1,137",,"2,935",,"4,072",,587,,"1,622",,"2,209",,"1,003,560",,,,
0113301 AL EBT WINSTON CO FS OFF,679,,"2,603",,"3,282",,344,,"1,238",,"1,582",,"794,097",,,,
0211005 AK EBT ALASKA,"7,922",,"86,507",,"94,429",,"5,375",,"38,106",,"43,481",,"31,832,959",,,,
0400101 AZ EBT APACHE,55,,"19,983",,"20,038",,12,,"8,645",,"8,657",,"4,677,109",,,,
0400301 AZ EBT COCHISE,343,,"19,892",,"20,235",,102,,"9,894",,"9,996",,"4,664,434",,,,
0400501 AZ EBT COCONINO,113,,"15,314",,"15,427",,34,,"6,997",,"7,031",,"3,434,080",,,,
0400701 AZ EBT GILA,64,,"8,966",,"9,030",,20,,"4,341",,"4,361",,"2,050,620",,,,
0400901 AZ EBT GRAHAM,69,,"4,839",,"4,908",,20,,"2,271",,"2,291",,"1,137,022",,,,
0401101 AZ EBT GREENLEE,13,,545,,558,,3,,262,,265,,"115,512",,,,
0401301 AZ EBT MARICOPA,"8,434",,"404,626",,"413,060",,"2,323",,"189,825",,"192,148",,"91,122,356",,,,
0401501 AZ EBT MOHAVE,606,,"28,977",,"29,583",,168,,"16,084",,"16,252",,"6,883,289",,,,
0401701 AZ EBT NAVAJO,221,,"23,997",,"24,218",,63,,"10,262",,"10,325",,"5,523,023",,,,
0401901 AZ EBT PIMA,"3,331",,"125,146",,"128,477",,910,,"63,501",,"64,411",,"29,396,025",,,,
0402101 AZ EBT PINAL,"1,263",,"46,485",,"47,748",,305,,"20,072",,"20,377",,"10,443,367",,,,
0402301 AZ EBT SANTA CRUZ,144,,"9,879",,"10,023",,39,,"4,198",,"4,237",,"2,211,586",,,,
0402501 AZ EBT YAVAPAI,240,,"17,553",,"17,793",,70,,"9,707",,"9,777",,"4,041,650",,,,
0402701 AZ EBT YUMA,450,,"36,985",,"37,435",,138,,"15,609",,"15,747",,"8,059,349",,,,
0402901 AZ EBT LA PAZ CO DES,46,,"2,751",,"2,797",,12,,"1,463",,"1,475",,"637,796",,,,
0500101 AR EBT ARKANSAS COUNTY,14,,"1,983",,"1,997",,5,,"1,068",,"1,073",,"289,165",,,,
0500301 AR EBT ASHLEY COUNTY,45,,"2,918",,"2,963",,14,,"1,537",,"1,551",,"428,190",,,,
0500501 AR EBT BAXTER COUNTY,32,,"3,458",,"3,490",,11,,"1,907",,"1,918",,"469,432",,,,
0500701 AR EBT BENTON COUNTY,86,,"11,888",,"11,974",,28,,"5,169",,"5,197",,"1,766,929",,,,
0500901 AR EBT BOONE COUNTY,66,,"3,548",,"3,614",,18,,"1,788",,"1,806",,"494,934",,,,
0501101 AR EBT BRADLEY COUNTY,26,,"1,611",,"1,637",,9,,899,,908,,"235,017",,,,
0501301 AR EBT CALHOUN COUNTY,0,,461,,461,,0,,256,,256,,"61,929",,,,
0501501 AR EBT CARROLL COUNTY,14,,"1,716",,"1,730",,8,,844,,852,,"309,994",,,,
0501701 AR EBT CHICOT COUNTY,40,,"2,186",,"2,226",,14,,"1,240",,"1,254",,"307,553",,,,
0501901 AR EBT CLARK COUNTY,20,,"2,142",,"2,162",,9,,"1,138",,"1,147",,"318,890",,,,
0502101 AR EBT CLAY COUNTY,21,,"1,674",,"1,695",,7,,872,,879,,"232,781",,,,
0502301 AR EBT CLEBURNE COUNTY,12,,"2,503",,"2,515",,4,,"1,349",,"1,353",,"356,575",,,,
0502501 AR EBT CLEVELAND COUNTY,12,,806,,818,,4,,438,,442,,"116,575",,,,
0502701 AR EBT COLUMBIA COUNTY,53,,"3,273",,"3,326",,12,,"1,716",,"1,728",,"492,229",,,,
0502901 AR EBT CONWAY COUNTY,34,,"2,410",,"2,444",,12,,"1,260",,"1,272",,"349,670",,,,
0503101 AR EBT CRAIGHEAD COUNTY,153,,"12,728",,"12,881",,47,,"5,631",,"5,678",,"1,962,924",,,,
0503301 AR EBT CRAWFORD COUNTY,66,,"5,787",,"5,853",,22,,"2,750",,"2,772",,"836,570",,,,
0503501 AR EBT CRITTENDEN COUNTY,131,,"8,003",,"8,134",,38,,"3,971",,"4,009",,"1,229,273",,,,
0503701 AR EBT CROSS COUNTY,30,,"1,731",,"1,761",,9,,966,,975,,"248,041",,,,
0503901 AR EBT DALLAS COUNTY,4,,865,,869,,1,,465,,466,,"119,841",,,,
0504101 AR EBT DESHA COUNTY,32,,"2,246",,"2,278",,11,,"1,207",,"1,218",,"329,504",,,,
0504301 AR EBT DREW COUNTY,35,,"2,449",,"2,484",,13,,"1,285",,"1,298",,"361,585",,,,
0504501 AR EBT FAULKNER COUNTY,67,,"8,864",,"8,931",,24,,"4,238",,"4,262",,"1,361,645",,,,
0504701 AR EBT FRANKLIN COUNTY,4,,"1,640",,"1,644",,2,,780,,782,,"232,803",,,,
0504901 AR EBT FULTON COUNTY,15,,"1,624",,"1,639",,6,,842,,848,,"216,661",,,,
0505101 AR EBT GARLAND COUNTY,65,,"10,988",,"11,053",,25,,"5,725",,"5,750",,"1,660,467",,,,
0505301 AR EBT GRANT COUNTY,14,,"1,318",,"1,332",,5,,646,,651,,"199,007",,,,
0505501 AR EBT GREENE COUNTY,63,,"5,376",,"5,439",,19,,"2,679",,"2,698",,"777,946",,,,
0505701 AR EBT HEMPSTEAD COUNTY,43,,"2,532",,"2,575",,12,,"1,318",,"1,330",,"357,094",,,,
0505901 AR EBT HOT SPRING COUNTY,22,,"2,719",,"2,741",,16,,"1,360",,"1,376",,"453,833",,,,
0506101 AR EBT HOWARD COUNTY,21,,"1,629",,"1,650",,9,,782,,791,,"239,671",,,,
0506301 AR EBT INDEPENDENCE COUNTY,46,,"3,297",,"3,343",,21,,"1,498",,"1,519",,"529,687",,,,
0506501 AR EBT IZARD COUNTY,13,,"1,542",,"1,555",,3,,858,,861,,"212,557",,,,
0506701 AR EBT JACKSON COUNTY,24,,"2,572",,"2,596",,8,,"1,358",,"1,366",,"381,469",,,,
0506901 AR EBT JEFFERSON COUNTY,187,,"11,811",,"11,998",,56,,"6,308",,"6,364",,"1,899,476",,,,
0507101 AR EBT JOHNSON COUNTY,32,,"3,274",,"3,306",,13,,"1,533",,"1,546",,"460,773",,,,
0507301 AR EBT LAFAYETTE COUNTY,7,,871,,878,,4,,478,,482,,"132,105",,,,
0507501 AR EBT LAWRENCE COUNTY,14,,"2,136",,"2,150",,5,,"1,127",,"1,132",,"291,348",,,,
0507701 AR EBT LEE COUNTY,45,,"1,957",,"2,002",,14,,"1,095",,"1,109",,"312,891",,,,
0507901 AR EBT LINCOLN COUNTY,16,,"1,511",,"1,527",,5,,819,,824,,"222,855",,,,
0508101 AR EBT LITTLE RIVER COUNTY,11,,"1,457",,"1,468",,4,,748,,752,,"204,947",,,,
0508301 AR EBT LOGAN COUNTY,24,,"2,405",,"2,429",,8,,"1,197",,"1,205",,"353,112",,,,
0508501 AR EBT LONOKE COUNTY,28,,"4,746",,"4,774",,10,,"2,396",,"2,406",,"694,049",,,,
0508701 AR EBT MADISON COUNTY,7,,"1,795",,"1,802",,2,,744,,746,,"259,291",,,,
0508901 AR EBT MARION COUNTY,34,,"1,885",,"1,919",,11,,955,,966,,"262,701",,,,
0509101 AR EBT MILLER COUNTY,156,,"5,521",,"5,677",,51,,"2,714",,"2,765",,"861,300",,,,
0509301 AR EBT MISSISSIPPI COUNTY,107,,"7,765",,"7,872",,35,,"3,806",,"3,841",,"1,182,573",,,,
0509501 AR EBT MONROE COUNTY,13,,"1,303",,"1,316",,6,,736,,742,,"180,236",,,,
0509701 AR EBT MONTGOMERY COUNTY,7,,917,,924,,2,,485,,487,,"125,405",,,,
0509901 AR EBT NEVADA COUNTY,9,,839,,848,,3,,437,,440,,"117,529",,,,
0510101 AR EBT NEWTON COUNTY,5,,879,,884,,3,,451,,454,,"113,106",,,,
0510301 AR EBT OUACHITA COUNTY,52,,"3,201",,"3,253",,16,,"1,783",,"1,799",,"481,397",,,,
0510501 AR EBT PERRY COUNTY,8,,"1,024",,"1,032",,2,,531,,533,,"143,258",,,,
0510701 AR EBT PHILLIPS COUNTY,149,,"5,220",,"5,369",,49,,"2,747",,"2,796",,"802,395",,,,
0510901 AR EBT PIKE COUNTY,9,,"1,381",,"1,390",,3,,621,,624,,"198,409",,,,
0511101 AR EBT POINSETT COUNTY,45,,"3,863",,"3,908",,15,,"1,983",,"1,998",,"552,845",,,,
0511301 AR EBT POLK COUNTY,35,,"2,473",,"2,508",,13,,"1,243",,"1,256",,"344,991",,,,
0511501 AR EBT POPE COUNTY,40,,"4,306",,"4,346",,30,,"2,121",,"2,151",,"751,083",,,,
0511701 AR EBT PRAIRIE COUNTY,9,,742,,751,,4,,413,,417,,"108,865",,,,
0511901 AR EBT PULASKI COUNTY,652,,"45,946",,"46,598",,192,,"22,727",,"22,919",,"7,455,045",,,,
0512101 AR EBT RANDOLPH COUNTY,14,,"2,257",,"2,271",,4,,"1,107",,"1,111",,"312,053",,,,
0512301 AR EBT SAINT FRANCIS COUNTY,108,,"4,882",,"4,990",,34,,"2,478",,"2,512",,"764,704",,,,
0512501 AR EBT SALINE COUNTY,40,,"5,438",,"5,478",,12,,"2,651",,"2,663",,"834,818",,,,
0512701 AR EBT SCOTT COUNTY,29,,"1,710",,"1,739",,7,,803,,810,,"244,670",,,,
0512901 AR EBT SEARCY COUNTY,5,,884,,889,,2,,484,,486,,"110,224",,,,
0513101 AR EBT SEBASTIAN COUNTY,185,,"15,247",,"15,432",,58,,"7,595",,"7,653",,"2,307,506",,,,
0513301 AR EBT SEVIER COUNTY,17,,"2,049",,"2,066",,4,,954,,958,,"297,732",,,,
0513501 AR EBT SHARP COUNTY,23,,"2,314",,"2,337",,6,,"1,213",,"1,219",,"317,179",,,,
0513701 AR EBT STONE COUNTY,13,,"1,605",,"1,618",,6,,833,,839,,"216,869",,,,
0513901 AR EBT UNION COUNTY,27,,"4,906",,"4,933",,12,,"2,556",,"2,568",,"757,439",,,,
0514101 AR EBT VAN BUREN COUNTY,2,,"1,688",,"1,690",,1,,892,,893,,"232,666",,,,
0514301 AR EBT WASHINGTON COUNTY,130,,"12,207",,"12,337",,43,,"5,733",,"5,776",,"1,874,445",,,,
