count,res_state,county_fips_code
4788,IN,18183
35550,IN,NA
2513,KS,20009
7863,KS,20015
4439,KS,20035
4408,KS,20037
8514,KS,20045
2082,KS,20051
3219,KS,20055
2697,KS,20057
3050,KS,20059
3515,KS,20061
4048,KS,20079
56249,KS,20091
7523,KS,20103
3345,KS,20111
3052,KS,20113
3530,KS,20121
3798,KS,20125
2414,KS,20149
6979,KS,20155
4309,KS,20161
5458,KS,20169
57796,KS,20173
2152,KS,20175
20040,KS,20177
2647,KS,20191
17153,KS,20209
60971,KS,NA
2741,KY,21003
2673,KY,21005
6354,KY,21009
3844,KY,21013
11986,KY,21015
5571,KY,21019
3206,KY,21021
2437,KY,21027
8701,KY,21029
3532,KY,21035
6921,KY,21037
3909,KY,21043
6152,KY,21047
4545,KY,21049
10826,KY,21059
35609,KY,21067
5391,KY,21071
6320,KY,21073
2954,KY,21081
4444,KY,21083
2642,KY,21085
4767,KY,21089
14161,KY,21093
4172,KY,21095
5036,KY,21101
5963,KY,21107
77766,KY,21111
5906,KY,21113
2471,KY,21115
15347,KY,21117
5564,KY,21121
9119,KY,21125
3228,KY,21133
3087,KY,21137
3576,KY,21141
6605,KY,21145
10247,KY,21151
2904,KY,21157
2800,KY,21163
2875,KY,21167
3949,KY,21173
3534,KY,21177
6572,KY,21179
2935,KY,21183
5513,KY,21185
4966,KY,21193
6145,KY,21195
7534,KY,21199
2244,KY,21205
7693,KY,21209
3860,KY,21211
4078,KY,21217
17147,KY,21227
2093,KY,21231
5629,KY,21235
2554,KY,21239
188963,KY,NA
6491,LA,22001
2649,LA,22003
17436,LA,22005
2958,LA,22007
4914,LA,22009
4233,LA,22011
15871,LA,22015
28901,LA,22017
24479,LA,22019
3624,LA,22031
50321,LA,22033
3713,LA,22039
3092,LA,22041
2630,LA,22043
9321,LA,22045
3929,LA,22047
52801,LA,22051
2976,LA,22053
27365,LA,22055
14728,LA,22057
4442,LA,22061
18170,LA,22063
2751,LA,22067
5047,LA,22069
41672,LA,22071
21517,LA,22073
2863,LA,22075
2535,LA,22077
16002,LA,22079
2860,LA,22083
3003,LA,22085
6012,LA,22087
7063,LA,22089
2721,LA,22093
4910,LA,22095
8459,LA,22097
6081,LA,22099
6309,LA,22101
34921,LA,22103
15810,LA,22105
14736,LA,22109
2811,LA,22111
7734,LA,22113
4913,LA,22115
5644,LA,22117
4579,LA,22119
3265,LA,22121
25374,LA,NA
22180,MA,25001
11712,MA,25003
80800,MA,25005
101639,MA,25009
4972,MA,25011
68952,MA,25013
13482,MA,25015
153419,MA,25017
70200,MA,25021
66613,MA,25023
94712,MA,25025
99218,MA,25027
4722,MA,NA
6916,MD,24001
41444,MD,24003
58261,MD,24005
7146,MD,24009
2767,MD,24011
14664,MD,24013
8084,MD,24015
5733,MD,24017
3753,MD,24019
21016,MD,24021
18110,MD,24025
16932,MD,24027
55832,MD,24031
63556,MD,24033
4090,MD,24035
9544,MD,24037
2719,MD,24039
2007,MD,24041
14882,MD,24043
7886,MD,24045
6101,MD,24047
45705,MD,24510
10197,MD,NA
13339,ME,23001
6866,ME,23003
23072,ME,23005
3448,ME,23007
4133,ME,23009
13264,ME,23011
3174,ME,23013
2873,ME,23015
6818,ME,23017
16041,ME,23019
2817,ME,23023
5969,ME,23025
3523,ME,23027
20438,ME,23031
4807,ME,NA
13512,MI,26005
2459,MI,26007
2468,MI,26009
7256,MI,26015
9960,MI,26017
15131,MI,26021
4553,MI,26023
14869,MI,26025
4479,MI,26027
2568,MI,26029
2316,MI,26031
3284,MI,26033
3499,MI,26035
10563,MI,26037
4053,MI,26041
2462,MI,26043
12993,MI,26045
3299,MI,26047
41105,MI,26049
2586,MI,26051
8845,MI,26055
5716,MI,26057
4427,MI,26059
3340,MI,26061
4362,MI,26063
20101,MI,26065
9158,MI,26067
2565,MI,26069
7106,MI,26073
16140,MI,26075
25932,MI,26077
50605,MI,26081
9196,MI,26087
1916,MI,26089
13973,MI,26091
25316,MI,26093
78438,MI,26099
2071,MI,26101
5518,MI,26103
3416,MI,26105
4277,MI,26107
2307,MI,26109
9145,MI,26111
16096,MI,26115
8690,MI,26117
13361,MI,26121
5804,MI,26123
88733,MI,26125
3161,MI,26127
2171,MI,26129
2718,MI,26133
3206,MI,26137
35725,MI,26139
2344,MI,26143
18762,MI,26145
18039,MI,26147
5806,MI,26149
4485,MI,26151
9717,MI,26155
6883,MI,26157
7176,MI,26159
35214,MI,26161
143436,MI,26163
3450,MI,26165
23476,MI,NA
45308,MN,27003
3948,MN,27005
5921,MN,27007
6146,MN,27009
7929,MN,27013
3053,MN,27015
3481,MN,27017
13159,MN,27019
3430,MN,27021
6969,MN,27025
7158,MN,27027
7788,MN,27035
49330,MN,27037
2840,MN,27039
4999,MN,27041
2346,MN,27045
4372,MN,27047
6305,MN,27049
129314,MN,27053
2404,MN,27057
5276,MN,27059
5895,MN,27061
5193,MN,27067
3145,MN,27079
2773,MN,27083
4900,MN,27085
2887,MN,27093
3836,MN,27095
4192,MN,27097
4863,MN,27099
3660,MN,27103
1900,MN,27105
16300,MN,27109
6306,MN,27111
3165,MN,27115
3185,MN,27119
51539,MN,27123
7128,MN,27131
20664,MN,27137
19101,MN,27139
13547,MN,27141
20869,MN,27145
5058,MN,27147
3109,MN,27153
2615,MN,27157
